A,probability
336,2.48341011738521e-239
337,1.819905095643979e-240
338,1.329176464765635e-241
339,9.675067203726549e-243
340,7.0188603285123e-244
341,5.074862351049004e-245
342,3.657048864914842e-246
343,2.626575203731675e-247
344,1.880205099809523e-248
345,1.341468967219141e-249
346,9.539370992594442e-251
347,6.761237918152512e-252
348,4.776433254982282e-253
349,3.363224426666168e-254
350,2.360403381610593e-255
351,1.651195270311914e-256
352,1.151319964908071e-257
353,8.0017056518473e-259
354,5.543213006433867e-260
355,3.827687975500154e-261
356,2.634577255513721e-262
357,1.807541446764964e-263
358,1.236152220564729e-264
359,8.426853289446526e-266
360,5.726273835352238e-267
361,3.878782098893262e-268
362,2.619018797135012e-269
363,1.762808617484255e-270
364,1.182764733593527e-271
365,7.910820653234088e-273
366,5.274459728662653e-274
367,3.505669540008665e-275
368,2.322757048122028e-276
369,1.534191817981304e-277
370,1.01018713258779e-278
371,6.630915744620274e-280
372,4.339082325283194e-281
373,2.830597721665856e-282
374,1.840846008211968e-283
375,1.193490476438106e-284
376,7.714109075980547e-286
377,4.970739751754684e-287
378,3.193212391313684e-288
379,2.04507479654991e-289
380,1.305774738755424e-290
381,8.312048204496226e-292
382,5.275110990041559e-293
383,3.337658710576977e-294
384,2.105435924780283e-295
385,1.324143025082684e-296
386,8.302779472879847e-298
387,5.190519213855246e-299
388,3.235189612070021e-300
389,2.010449827104272e-301
390,1.245644787549569e-302
391,7.694945786929645e-304
392,4.739474280695897e-305
393,2.910522112805311e-306
394,1.782094033385898e-307
395,1.08795805060591e-308
396,6.622444568162551e-310
397,4.019314348806295e-311
398,2.432292910418001e-312
399,1.467617284670174e-313
400,8.82969247030339e-315
401,5.296840635327437e-316
402,3.168324411024912e-317
403,1.889662756961932e-318
404,1.123604091772163e-319
405,6.645182936564766e-321
406,3.705492343809349e-322
